PAIR,COSINE_DISTANCE
"(0, 1)",0.5122157107295522
"(0, 2)",1.221535179644327
"(0, 3)",1.9330691902576553
"(0, 4)",0.28469474315312515
"(0, 5)",1.0326926433401997
"(0, 6)",0.2450254301361966
"(0, 7)",0.6792796230536262
"(0, 8)",0.9192167948325151
"(0, 9)",1.2123004925117016
"(1, 2)",0.4803027919426188
"(1, 3)",1.7648424693069793
"(1, 4)",0.7411870066944061
"(1, 5)",0.3823601058079984
"(1, 6)",0.9545520002717234
"(1, 7)",1.5159306673701014
"(1, 8)",1.6104259919987616
"(1, 9)",1.704062326159424
"(2, 3)",1.0235607675025917
"(2, 4)",1.4273854767550431
"(2, 5)",0.11383691422763431
"(2, 6)",1.692901314451933
"(2, 7)",1.8949993634264035
"(2, 8)",1.8808425439281555
"(2, 9)",1.9006307541719014
"(3, 4)",1.6353297585414088
"(3, 5)",1.2040974955881971
"(3, 6)",1.5714942698131313
"(3, 7)",1.0513734411109186
"(3, 8)",0.8359770136580309
"(3, 9)",0.5856103888605386
"(4, 5)",0.9962086077388042
"(4, 6)",0.2974959083118398
"(4, 7)",0.7824792213399593
"(4, 8)",0.9914087670926371
"(4, 9)",0.93466753896687
"(5, 6)",1.5185064746887402
"(5, 7)",1.928219085055674
"(5, 8)",1.9947731034545158
"(5, 9)",1.9026609216733408
"(6, 7)",0.36794776223540193
"(6, 8)",0.48363415495906614
"(6, 9)",0.6426837302650831
"(7, 8)",0.04395322295156545
"(7, 9)",0.2225111318881432
"(8, 9)",0.12245385334415382
